iter	Passed	Remaining
0	139	139323
1	144	72141
2	147	48869
3	149	37156
4	151	30242
5	154	25623
6	163	23238
7	166	20618
8	168	18585
9	171	16993
10	174	15704
11	177	14602
12	179	13647
13	182	12829
14	185	12204
15	188	11599
16	193	11191
17	198	10828
18	201	10379
19	203	9963
20	205	9582
21	207	9220
22	209	8918
23	214	8717
24	217	8500
25	221	8279
26	223	8067
27	230	8000
28	238	7984
29	240	7776
30	245	7677
31	248	7506
32	250	7346
33	253	7203
34	255	7045
35	263	7052
36	266	6928
37	268	6787
38	270	6656
39	271	6523
40	276	6467
41	279	6376
42	282	6278
43	284	6174
44	285	6069
45	290	6030
46	293	5958
47	298	5927
48	302	5864
49	305	5812
50	308	5733
51	310	5657
52	312	5588
53	315	5520
54	317	5456
55	321	5412
56	327	5421
57	329	5356
58	332	5296
59	338	5308
60	341	5254
61	343	5201
62	345	5140
63	347	5081
64	353	5090
65	356	5048
66	358	4997
67	361	4950
68	373	5040
69	375	4994
70	378	4948
71	386	4975
72	388	4934
73	390	4891
74	393	4851
75	398	4839
76	400	4803
77	403	4770
78	405	4732
79	408	4692
80	431	4895
81	433	4852
82	434	4799
83	439	4796
84	442	4758
85	445	4735
86	452	4749
87	454	4714
88	457	4678
89	464	4692
90	466	4663
91	469	4629
92	493	4809
93	496	4783
94	498	4748
95	501	4721
96	504	4692
97	506	4664
98	510	4644
99	512	4616
100	515	4590
101	518	4563
102	520	4534
103	527	4545
104	530	4517
105	532	4491
106	540	4507
107	543	4489
108	545	4460
109	547	4432
110	550	4406
111	556	4413
112	558	4387
113	561	4362
114	563	4337
115	588	4481
116	589	4450
117	592	4428
118	594	4404
119	597	4384
120	601	4372
121	604	4351
122	609	4346
123	612	4323
124	622	4355
125	624	4335
126	627	4310
127	635	4329
128	638	4308
129	642	4301
130	649	4310
131	654	4303
132	656	4279
133	659	4263
134	663	4254
135	666	4236
136	668	4214
137	691	4318
138	695	4308
139	699	4295
140	701	4276
141	703	4250
142	706	4231
143	708	4213
144	712	4199
145	714	4178
146	716	4157
147	719	4140
148	746	4264
149	749	4246
150	752	4232
151	756	4219
152	761	4218
153	765	4207
154	768	4187
155	770	4167
156	774	4159
157	778	4150
158	781	4132
159	783	4113
160	784	4089
161	786	4070
162	789	4052
163	791	4033
164	793	4014
165	798	4011
166	800	3992
167	802	3975
168	821	4038
169	823	4022
170	825	4004
171	832	4005
172	834	3989
173	836	3973
174	839	3956
175	847	3967
176	849	3950
177	853	3942
178	856	3929
179	863	3934
180	866	3920
181	869	3906
182	872	3894
183	877	3892
184	881	3881
185	883	3868
186	886	3853
187	892	3855
188	895	3840
189	897	3825
190	899	3810
191	902	3796
192	907	3793
193	910	3782
194	912	3767
195	914	3752
196	916	3737
197	922	3738
198	929	3740
199	931	3726
200	934	3715
201	941	3717
202	943	3705
203	946	3691
204	955	3703
205	958	3693
206	960	3680
207	963	3667
208	968	3665
209	976	3675
210	1010	3779
211	1013	3767
212	1019	3765
213	1021	3751
214	1023	3738
215	1026	3726
216	1033	3728
217	1036	3718
218	1038	3704
219	1041	3691
220	1043	3678
221	1073	3760
222	1075	3747
223	1078	3736
224	1081	3725
225	1085	3715
226	1087	3703
227	1089	3689
228	1127	3797
229	1130	3785
230	1133	3772
231	1136	3761
232	1170	3851
233	1181	3867
234	1185	3857
235	1189	3849
236	1193	3843
237	1198	3836
238	1200	3822
239	1202	3809
